run_id,Vrf_low_kV,Vrf_high_kV,voltage_ratio,jump_turns,jump_start_turn,T_s_turns_low,jump_over_Ts,min_time_sigma_ns,turn_of_min,hit_end_of_window,eps_growth,valid,under_threshold
run_1785876051422147,1.0,320.0,320.0,5,500,45812.73677588731,0.00010913995434194751,1.9696688989999906,1160,False,22086.183022697653,False,True
run_1785876053294338,1.0,320.0,320.0,20,500,45812.73677588731,0.00043655981736779003,1.9696986628708353,1167,False,22084.254899515465,False,True
run_1785876055173410,1.0,320.0,320.0,80,500,45812.73677588731,0.0017462392694711601,1.9706742557382602,1197,False,22049.44637852092,False,True
run_1785876057051024,1.0,320.0,320.0,320,500,45812.73677588731,0.0069849570778846405,1.9869016159887591,1316,False,21492.910933072537,False,True
run_1785876058888690,1.0,320.0,320.0,1280,500,45812.73677588731,0.027939828311538562,2.302037730769074,1752,False,15212.740565035558,False,False
run_1785876060531589,1.0,320.0,320.0,5120,500,45812.73677588731,0.11175931324615425,3.8632072960678885,2835,False,5182.038365238515,False,False
run_1785876061939111,1.0,320.0,320.0,20480,500,45812.73677588731,0.447037252984617,28.711095532067326,2999,True,156.3100809821524,False,False
run_1785876063343064,12.055555555555555,320.0,26.543778801843317,5,500,13194.49030757781,0.0003789460512262773,3.411080432696787,1148,False,1876.6393227227654,False,False
run_1785876064740811,12.055555555555555,320.0,26.543778801843317,20,500,13194.49030757781,0.0015157842049051092,3.4111585050021174,1156,False,1876.538678953196,False,False
run_1785876066177102,12.055555555555555,320.0,26.543778801843317,80,500,13194.49030757781,0.006063136819620437,3.4137029864110926,1186,False,1873.7882294405902,False,False
run_1785876067597397,12.055555555555555,320.0,26.543778801843317,320,500,13194.49030757781,0.024252547278481747,3.4579126026191935,1305,False,1826.0905580113415,False,False
run_1785876069047736,12.055555555555555,320.0,26.543778801843317,1280,500,13194.49030757781,0.09701018911392699,4.104164229674416,1742,False,1293.5709889217385,False,False
run_1785876070527574,12.055555555555555,320.0,26.543778801843317,5120,500,13194.49030757781,0.38804075645570796,6.779357263543988,2800,False,463.77411034354253,False,False
run_1785876072006538,12.055555555555555,320.0,26.543778801843317,20480,500,13194.49030757781,1.5521630258228318,15.890830190032371,2999,True,31.736880414444045,False,False
run_1785876073565310,23.11111111111111,320.0,13.846153846153847,5,500,9529.625114556056,0.0005246796112013613,4.005132121829132,1147,False,978.3046932313376,False,False
run_1785876075351362,23.11111111111111,320.0,13.846153846153847,20,500,9529.625114556056,0.0020987184448054454,4.005140044421405,1155,False,978.2862072384854,False,False
run_1785876077022960,23.11111111111111,320.0,13.846153846153847,80,500,9529.625114556056,0.008394873779221781,4.0077530340404435,1185,False,977.0120048727272,False,False
run_1785876078820219,23.11111111111111,320.0,13.846153846153847,320,500,9529.625114556056,0.033579495116887126,4.056990659123263,1305,False,953.1884418021349,False,False
run_1785876080678939,23.11111111111111,320.0,13.846153846153847,1280,500,9529.625114556056,0.1343179804675485,4.780775343438217,1742,False,682.372541604984,False,False
run_1785876082551994,23.11111111111111,320.0,13.846153846153847,5120,500,9529.625114556056,0.537271921870194,7.63145305414397,2780,False,250.95769787298312,False,False
run_1785876084403560,23.11111111111111,320.0,13.846153846153847,20480,500,9529.625114556056,2.149087687480776,13.713819167182526,2999,True,23.22318312835105,False,False
run_1785876086000129,34.166666666666664,320.0,9.365853658536587,5,500,7837.632933698828,0.00063794771231272,4.411203191356842,1147,False,658.6807514001017,False,False
run_1785876087550001,34.166666666666664,320.0,9.365853658536587,20,500,7837.632933698828,0.00255179084925088,4.411174165579984,1155,False,658.6874728182449,False,False
run_1785876088957095,34.166666666666664,320.0,9.365853658536587,80,500,7837.632933698828,0.01020716339700352,4.413672173402956,1185,False,657.9271302429979,False,False
run_1785876090348307,34.166666666666664,320.0,9.365853658536587,320,500,7837.632933698828,0.04082865358801408,4.464850068591608,1304,False,642.5481328505306,False,False
run_1785876091735654,34.166666666666664,320.0,9.365853658536587,1280,500,7837.632933698828,0.16331461435205633,5.223301787146933,1742,False,464.0507510428282,False,False
run_1785876093285943,34.166666666666664,320.0,9.365853658536587,5120,500,7837.632933698828,0.6532584574082253,8.081853566169036,2761,False,171.73763588397162,False,False
run_1785876094893653,34.166666666666664,320.0,9.365853658536587,20480,500,7837.632933698828,2.613033829632901,12.562753286587862,2999,True,19.132893516181475,False,False
run_1785876096597806,45.22222222222222,320.0,7.076167076167076,5,500,6812.558923614885,0.0007339386060453912,4.7274644205067275,1147,False,493.83897826899,False,False
run_1785876098247324,45.22222222222222,320.0,7.076167076167076,20,500,6812.558923614885,0.002935754424181565,4.727366012681023,1155,False,493.8578616688817,False,False
run_1785876100053441,45.22222222222222,320.0,7.076167076167076,80,500,6812.558923614885,0.01174301769672626,4.729674010121972,1185,False,493.35451634634785,False,False
run_1785876101912299,45.22222222222222,320.0,7.076167076167076,320,500,6812.558923614885,0.04697207078690504,4.78138422348609,1305,False,482.259753521529,False,False
run_1785876103799739,45.22222222222222,320.0,7.076167076167076,1280,500,6812.558923614885,0.18788828314762016,5.55408593265375,1743,False,350.7024262878028,False,False
run_1785876105622803,45.22222222222222,320.0,7.076167076167076,5120,500,6812.558923614885,0.7515531325904806,8.35021477843839,2741,False,128.8824490710533,False,False
run_1785876107115049,45.22222222222222,320.0,7.076167076167076,20480,500,6812.558923614885,3.0062125303619225,11.817697735208169,2999,True,16.066105580409044,False,False
run_1785876108516332,56.27777777777778,320.0,5.686080947680158,5,500,6106.856959008725,0.0008187517791167665,4.989727860147471,1147,False,392.67143665587423,False,False
run_1785876109927082,56.27777777777778,320.0,5.686080947680158,20,500,6106.856959008725,0.003275007116467066,4.98955489969048,1155,False,392.6970773079287,False,False
run_1785876111485984,56.27777777777778,320.0,5.686080947680158,80,500,6106.856959008725,0.013100028465868264,4.9916342404872385,1185,False,392.3458077276203,False,False
run_1785876112894470,56.27777777777778,320.0,5.686080947680158,320,500,6106.856959008725,0.052400113863473055,5.043022064987663,1305,False,383.8306648776164,False,False
run_1785876114389609,56.27777777777778,320.0,5.686080947680158,1280,500,6106.856959008725,0.20960045545389222,5.817836318562103,1743,False,280.56939496659965,False,False
run_1785876116342152,56.27777777777778,320.0,5.686080947680158,5120,500,6106.856959008725,0.8384018218155689,8.515821123329898,2723,False,101.41175968466104,False,False
run_1785876118142999,56.27777777777778,320.0,5.686080947680158,20480,500,6106.856959008725,3.3536072872622755,11.290120319164435,2999,True,13.261952466559261,False,False
run_1785876119779625,67.33333333333333,320.0,4.752475247524753,5,500,5583.045363839298,0.0008955685784651488,5.215466354991036,1148,False,323.8508129699796,False,False
run_1785876121330260,67.33333333333333,320.0,4.752475247524753,20,500,5583.045363839298,0.0035822743138605954,5.215238821241197,1155,False,323.8815377098343,False,False
run_1785876123070603,67.33333333333333,320.0,4.752475247524753,80,500,5583.045363839298,0.014329097255442381,5.217069154787672,1185,False,323.62956122728616,False,False
run_1785876124600345,67.33333333333333,320.0,4.752475247524753,320,500,5583.045363839298,0.057316389021769526,5.267588476128931,1305,False,316.82797877635437,False,False
run_1785876126049192,67.33333333333333,320.0,4.752475247524753,1280,500,5583.045363839298,0.2292655560870781,6.036449837150396,1743,False,232.42756694288784,False,False
run_1785876127729079,67.33333333333333,320.0,4.752475247524753,5120,500,5583.045363839298,0.9170622243483124,8.616467315807789,2707,False,82.04448358770418,False,False
run_1785876129626169,67.33333333333333,320.0,4.752475247524753,20480,500,5583.045363839298,3.6682488973932497,10.892797162368897,2999,True,10.587532346748983,False,False
run_1785876131184794,78.38888888888889,320.0,4.082211197732105,5,500,5174.387581298968,0.000966297928294117,5.414667384237493,1148,False,273.71013024366,False,False
run_1785876132806244,78.38888888888889,320.0,4.082211197732105,20,500,5174.387581298968,0.003865191713176468,5.4143904830252465,1155,False,273.74244631555416,False,False
run_1785876134322222,78.38888888888889,320.0,4.082211197732105,80,500,5174.387581298968,0.015460766852705872,5.4159621230850306,1185,False,273.5596515492633,False,False
run_1785876135762115,78.38888888888889,320.0,4.082211197732105,320,500,5174.387581298968,0.06184306741082349,5.465232595252578,1305,False,267.9738363885579,False,False
run_1785876137292105,78.38888888888889,320.0,4.082211197732105,1280,500,5174.387581298968,0.24737226964329395,6.222383777634833,1744,False,197.0186921702663,False,False
