turn,Vrf_kV,time_sigma_ns,dE_sigma_MeV,eps_rms_ns_GeV,eps_full_eVs
0,160.0,6.89911446185983,12.597080034490647,0.08691469099962663,1.0921268966554116
1,160.0,6.899132876633808,12.59704433760897,0.08691467777012349,1.0921267168916158
2,160.0,6.899152403274319,12.597006672730481,0.08691466460326039,1.0921265424982807
3,160.0,6.89917304126438,12.596967040972718,0.08691465150048718,1.092126373487429
4,160.0,6.8991947900600445,12.596925443498264,0.08691463846324632,1.0921262098705584
5,160.0,6.899217649090414,12.596881881514708,0.08691462549297274,1.092126051658639
6,160.0,6.89924161775768,12.596836356274585,0.0869146125910937,1.0921258988621168
7,160.0,6.899266695437135,12.596788869075333,0.08691459975902886,1.0921257514909106
8,160.0,6.899292881477174,12.596739421259226,0.08691458699818966,1.0921256095544083
9,160.0,6.899320175199332,12.596688014213354,0.08691457430997954,1.0921254730614705
10,160.0,6.899348575898321,12.596634649369532,0.08691456169579388,1.09212534202043
11,160.0,6.8993780828420155,12.59657932820427,0.08691454915701949,1.0921252164390862
12,160.0,6.899408695271513,12.596522052238704,0.08691453669503488,1.0921250963247113
13,160.0,6.899440412401129,12.596462823038554,0.0869145243112098,1.0921249816840437
14,160.0,6.899473233418436,12.596401642214056,0.0869145120069053,1.092124872523291
15,160.0,6.899507157484287,12.596338511419912,0.08691449978347345,1.0921247688481288
16,160.0,6.899542183732843,12.59627343235522,0.08691448764225744,1.092124670663701
17,160.0,6.899578311271584,12.596206406763432,0.08691447558459107,1.0921245779746163
18,160.0,6.899615539181364,12.596137436432278,0.08691446361179908,1.0921244907849539
19,160.0,6.8996538665164175,12.59606652319371,0.08691445172519664,1.0921244090982574
20,160.0,6.899693292304377,12.595993668923846,0.08691443992608924,1.0921243329175356
21,160.0,6.899733815546341,12.595918875542901,0.0869144282157729,1.0921242622452667
22,160.0,6.8997754352168705,12.595842145015126,0.08691441659553371,1.0921241970833941
23,160.0,6.89981815026404,12.595763479348742,0.08691440506664792,1.092124137433329
24,160.0,6.899861959609432,12.595682880595872,0.08691439363038143,1.0921240832959447
25,160.0,6.899906862148223,12.595600350852488,0.08691438228799017,1.0921240346715853
26,160.0,6.8999528567491755,12.595515892258325,0.08691437104071974,1.0921239915600598
27,160.0,6.899999942254678,12.595429506996831,0.08691435988980512,1.0921239539606438
28,160.0,6.900048117480791,12.595341197295092,0.08691434883647081,1.0921239218720804
29,160.0,6.900097381217279,12.595250965423748,0.0869143378819307,1.0921238952925798
30,160.0,6.9001477322276275,12.595158813696957,0.08691432702738772,1.09212387421982
31,160.0,6.900199169249097,12.595064744472289,0.08691431627403391,1.0921238586509465
32,160.0,6.900251690992753,12.594968760150676,0.08691430562305026,1.0921238485825735
33,160.0,6.900305296143498,12.594870863176334,0.0869142950756065,1.092123844010783
34,160.0,6.900359983360134,12.594771056036683,0.0869142846328613,1.0921238449311301
35,160.0,6.900415751275346,12.594669341262287,0.08691427429596156,1.0921238513386344
36,160.0,6.900472598495822,12.594565721426767,0.08691426406604318,1.0921238632277934
37,160.0,6.900530523602199,12.594460199146727,0.08691425394422984,1.092123880592568
38,160.0,6.900589525149184,12.594352777081685,0.08691424393163394,1.092123903426397
39,160.0,6.900649601665535,12.594243457933992,0.08691423402935564,1.0921239317221887
40,160.0,6.900710751654149,12.594132244448751,0.08691422423848348,1.0921239654723278
41,160.0,6.900772973592071,12.594019139413739,0.08691421456009374,1.092124004668671
42,160.0,6.900836265930557,12.593904145659337,0.08691420499525059,1.092124049302554
43,160.0,6.900900627095094,12.593787266058433,0.08691419554500582,1.0921240993647843
44,160.0,6.90096605548547,12.593668503526358,0.08691418621039891,1.0921241548456504
45,160.0,6.901032549475806,12.593547861020795,0.08691417699245685,1.092124215734919
46,160.0,6.901100107414594,12.593425341541698,0.08691416789219399,1.0921242820218349
47,160.0,6.901168727624756,12.593300948131207,0.08691415891061195,1.0921243536951248
48,160.0,6.90123840840368,12.59317468387357,0.0869141500486996,1.0921244307429971
49,160.0,6.901309148023278,12.593046551895059,0.08691414130743294,1.0921245131531454
50,160.0,6.901380944730027,12.592916555363868,0.08691413268777498,1.0921246009127457
51,160.0,6.901453796745003,12.592784697490053,0.08691412419067554,1.0921246940084608
52,160.0,6.901527702263966,12.592650981525422,0.08691411581707144,1.0921247924264423
53,160.0,6.901602659457372,12.592515410763463,0.08691410756788608,1.0921248961523295
54,160.0,6.90167866647044,12.59237798853925,0.08691409944402953,1.0921250051712523
55,160.0,6.901755721423201,12.592238718229344,0.08691409144639836,1.0921251194678323
56,160.0,6.901833822410537,12.592097603251728,0.0869140835758755,1.0921252390261837
57,160.0,6.901912967502278,12.59195464706569,0.08691407583333065,1.0921253638299206
58,160.0,6.901993154743186,12.59180985317175,0.08691406821961936,1.0921254938621492
59,160.0,6.902074382153061,12.591663225111557,0.08691406073558357,1.0921256291054766
60,160.0,6.902156647726765,12.591514766467808,0.0869140533820512,1.0921257695420101
61,160.0,6.902239949434294,12.591364480864138,0.08691404615983633,1.0921259151533584
62,160.0,6.902324285220834,12.591212371965042,0.08691403906973902,1.0921260659206378
63,160.0,6.902409653006785,12.591058443475772,0.08691403211254498,1.0921262218244658
64,160.0,6.902496050687869,12.590902699142248,0.08691402528902593,1.0921263828449732
65,160.0,6.902583476135137,12.59074514275095,0.08691401859993922,1.092126548961797
66,160.0,6.902671927195052,12.590585778128833,0.08691401204602776,1.092126720154089
67,160.0,6.902761401689548,12.590424609143227,0.08691400562802018,1.0921268964005144
68,160.0,6.9028518974160775,12.590261639701733,0.08691399934663051,1.0921270776792558
69,160.0,6.902943412147676,12.590096873752133,0.08691399320255823,1.0921272639680144
70,160.0,6.903035943633006,12.58993031528228,0.08691398719648802,1.0921274552440094
71,160.0,6.903129489596452,12.589761968320008,0.08691398132909002,1.0921276514839882
72,160.0,6.903224047738151,12.589591836933028,0.08691397560101957,1.0921278526642215
73,160.0,6.90331961573406,12.58941992522882,0.08691397001291709,1.0921280587605073
74,160.0,6.903416191236026,12.589246237354542,0.08691396456540812,1.0921282697481765
75,160.0,6.903513771871835,12.589070777496916,0.08691395925910318,1.0921284856020899
76,160.0,6.903612355245294,12.588893549882133,0.08691395409459787,1.0921287062966472
77,160.0,6.903711938936274,12.588714558775745,0.08691394907247259,1.092128931805784
78,160.0,6.9038125205007805,12.588533808482559,0.08691394419329256,1.0921291621029763
79,160.0,6.90391409747103,12.588351303346535,0.08691393945760792,1.092129397161245
80,160.0,6.9040166673555055,12.588167047750677,0.0869139348659535,1.092129636953157
81,160.0,6.904120227639006,12.587981046116926,0.0869139304188487,1.0921298814508258
82,160.0,6.904224775782743,12.587793302906059,0.0869139261167976,1.0921301306259181
83,160.0,6.904330309224384,12.587603822617574,0.08691392196028891,1.092130384449654
84,160.0,6.904436825378148,12.587412609789576,0.08691391794979599,1.0921306428928135
85,160.0,6.904544321634823,12.587219668998681,0.08691391408577633,1.0921309059257323
86,160.0,6.904652795361893,12.587025004859902,0.08691391036867221,1.0921311735183128
87,160.0,6.904762243903561,12.586828622026527,0.08691390679891012,1.0921314456400208
88,160.0,6.904872664580848,12.586630525190031,0.08691390337690096,1.092131722259894
89,160.0,6.904984054691648,12.586430719079935,0.08691390010303997,1.0921320033465398
90,160.0,6.905096411510796,12.586229208463717,0.08691389697770652,1.0921322888681408
91,160.0,6.905209732290154,12.586025998146692,0.08691389400126438,1.09213257879246
92,160.0,6.9053240142586745,12.585821092971885,0.08691389117406152,1.0921328730868405
93,160.0,6.90543925462246,12.585614497819945,0.0869138884964299,1.0921331717182095
94,160.0,6.9055554505648535,12.585406217608998,0.0869138859686857,1.0921334746530822
95,160.0,6.905672599246516,12.585196257294559,0.08691388359112934,1.092133781857568
96,160.0,6.9057906978054735,12.584984621869397,0.08691388136404507,1.0921340932973673
97,160.0,6.905909743357209,12.58477131636342,0.08691387928770124,1.092134408937779
98,160.0,6.906029732994755,12.58455634584358,0.08691387736235044,1.0921347287437067
99,160.0,6.906150663788729,12.584339715413714,0.08691387558822901,1.0921350526796547
100,160.0,6.906272532787432,12.584121430214466,0.08691387396555722,1.0921353807097376
101,160.0,6.906395337016931,12.583901495423147,0.08691387249453947,1.0921357127976818
102,160.0,6.9065190734811175,12.583679916253615,0.08691387117536394,1.0921360489068286
103,160.0,6.906643739161803,12.583456697956159,0.0869138700082028,1.0921363890001383
104,160.0,6.906769331018775,12.583231845817384,0.08691386899321199,1.0921367330401939
105,160.0,6.906895845989904,12.583005365160071,0.08691386813053144,1.0921370809892046
106,160.0,6.9070232809912,12.582777261343084,0.08691386742028491,1.0921374328090105
107,160.0,6.907151632916894,12.582547539761217,0.08691386686257994,1.0921377884610841
108,160.0,6.907280898639532,12.582316205845085,0.08691386645750805,1.0921381479065364
109,160.0,6.90741107501003,12.582083265061005,0.08691386620514438,1.092138511106118
110,160.0,6.907542158857781,12.581848722910864,0.086913866105548,1.0921388780202257
111,160.0,6.907674146990717,12.58161258493199,0.08691386615876168,1.0921392486089043
112,160.0,6.907807036195407,12.58137485669704,0.08691386636481215,1.0921396228318527
113,160.0,6.907940823237133,12.581135543813865,0.08691386672370995,1.0921400006484272
114,160.0,6.90807550485996,12.580894651925378,0.08691386723544926,1.0921403820176427
115,160.0,6.908211077786842,12.580652186709443,0.08691386790000828,1.0921407668981806
116,160.0,6.90834753871967,12.580408153878727,0.08691386871734863,1.0921411552483873
117,160.0,6.908484884339411,12.58016255918059,0.08691386968741621,1.092141547026288
118,160.0,6.9086231113061345,12.579915408396944,0.08691387081014038,1.0921419421895793
119,160.0,6.908762216259137,12.579666707344133,0.08691387208543448,1.092142340695642
120,160.0,6.908902195817014,12.579416461872787,0.08691387351319567,1.0921427425015404
121,160.0,6.909043046577733,12.579164677867718,0.08691387509330482,1.0921431475640282
122,160.0,6.909184765118751,12.578911361247757,0.08691387682562682,1.0921435558395534
123,160.0,6.909327347997073,12.578656517965648,0.08691387871001034,1.0921439672842612
124,160.0,6.909470791749347,12.578400154007905,0.08691388074628782,1.0921443818539978
125,160.0,6.909615092891952,12.578142275394677,0.08691388293427572,1.0921447995043154
126,160.0,6.909760247921111,12.577882888179625,0.08691388527377449,1.0921452201904807
127,160.0,6.909906253312934,12.577621998449775,0.08691388776456836,1.0921456438674715
128,160.0,6.910053105523526,12.577359612325388,0.08691389040642546,1.0921460704899835
129,160.0,6.910200800989101,12.577095735959842,0.08691389319909808,1.0921465000124404
130,160.0,6.910349336126027,12.576830375539465,0.08691389614232221,1.0921469323889887
131,160.0,6.910498707330966,12.576563537283425,0.08691389923581828,1.092147367573513
132,160.0,6.910648910980922,12.576295227443586,0.08691390247929044,1.0921478055196305
133,160.0,6.910799943433365,12.576025452304362,0.08691390587242714,1.092148246180703
134,160.0,6.910951801026293,12.575754218182597,0.08691390941490076,1.0921486895098362
135,160.0,6.911104480078335,12.57548153142741,0.08691391310636783,1.092149135459885
136,160.0,6.911257976888862,12.575207398420067,0.08691391694646915,1.0921495839834618
137,160.0,6.911412287738056,12.574931825573843,0.0869139209348297,1.0921500350329383
138,160.0,6.911567408887012,12.574654819333867,0.08691392507105866,1.0921504885604487
139,160.0,6.911723336577835,12.574376386177006,0.08691392935474958,1.0921509445178976
140,160.0,6.91188006703373,12.574096532611705,0.08691393378548025,1.0921514028569625
141,160.0,6.912037596459094,12.573815265177856,0.08691393836281289,1.0921518635290992
142,160.0,6.912195921039614,12.57353259044665,0.08691394308629402,1.0921523264855448
143,160.0,6.912355036942376,12.573248515020442,0.0869139479554548,1.0921527916773268
144,160.0,6.9125149403159325,12.572963045532603,0.08691395296981073,1.0921532590552634
145,160.0,6.912675627290417,12.572676188647382,0.08691395812886195,1.0921537285699685
146,160.0,6.912837093977635,12.572387951059753,0.08691396343209302,1.092154200171859
147,160.0,6.912999336471173,12.572098339495286,0.08691396887897342,1.0921546738111587
148,160.0,6.9131623508464735,12.571807360709986,0.08691397446895709,1.0921551494379016
149,160.0,6.91332613316096,12.571515021490162,0.0869139802014829,1.09215562700194
150,160.0,6.913490679454109,12.571221328652271,0.08691398607597443,1.0921561064529444
151,160.0,6.913655985747568,12.570926289042779,0.0869139920918402,1.0921565877404138
152,160.0,6.913822048045234,12.570629909538015,0.08691399824847351,1.0921570708136752
153,160.0,6.913988862333378,12.570332197044017,0.08691400454525282,1.0921575556218934
154,160.0,6.914156424580729,12.570033158496386,0.0869140109815416,1.0921580421140733
155,160.0,6.91432473073856,12.569732800860153,0.08691401755668812,1.0921585302390624
156,160.0,6.914493776740833,12.569431131129607,0.08691402427002634,1.092159019945563
157,160.0,6.914663558504245,12.569128156328164,0.08691403112087501,1.0921595111821292
158,160.0,6.914834071928374,12.568823883508209,0.08691403810853844,1.0921600038971766
159,160.0,6.915005312895757,12.568518319750954,0.08691404523230624,1.0921604980389867
160,160.0,6.915177277271983,12.568211472166276,0.08691405249145333,1.092160993555708
161,160.0,6.915349960905834,12.567903347892578,0.08691405988524034,1.0921614903953685
162,160.0,6.9155233596293515,12.56759395409663,0.08691406741291349,1.0921619885058746
163,160.0,6.915697469257948,12.567283297973423,0.08691407507370458,1.0921624878350171
164,160.0,6.915872285590505,12.566971386746015,0.08691408286683099,1.0921629883304762
165,160.0,6.916047804409505,12.566658227665377,0.08691409079149624,1.0921634899398305
166,160.0,6.916224021481096,12.566343828010236,0.08691409884688947,1.0921639926105555
167,160.0,6.916400932555218,12.566028195086936,0.08691410703218588,1.0921644962900339
168,160.0,6.916578533365707,12.565711336229269,0.08691411534654672,1.0921650009255577
169,160.0,6.916756819630395,12.565393258798323,0.08691412378911938,1.0921655064643343
170,160.0,6.916935787051224,12.565073970182345,0.08691413235903755,1.0921660128534945
171,160.0,6.917115431314335,12.564753477796552,0.0869141410554211,1.0921665200400905
172,160.0,6.917295748090178,12.56443178908301,0.08691414987737621,1.0921670279711067
173,160.0,6.917476733033642,12.564108911510454,0.08691415882399581,1.0921675365934647
174,160.0,6.917658381784133,12.563784852574146,0.08691416789435923,1.0921680458540266
175,160.0,6.917840689965682,12.563459619795706,0.08691417708753241,1.092168555699598
176,160.0,6.9180236531870705,12.563133220722966,0.08691418640256807,1.0921690660769376
177,160.0,6.918207267041932,12.56280566292981,0.08691419583850589,1.0921695769327617
178,160.0,6.91839152710885,12.562476954015999,0.0869142053943724,1.0921700882137453
179,160.0,6.918576428951473,12.562147101607042,0.08691421506918116,1.092170599866532
180,160.0,6.9187619681186145,12.56181611335401,0.08691422486193277,1.092171111837734
181,160.0,6.918948140144384,12.561483996933388,0.08691423477161526,1.0921716240739439
182,160.0,6.919134940548279,12.561150760046923,0.08691424479720393,1.092172136521735
183,160.0,6.919322364835281,12.560816410421443,0.08691425493766138,1.0921726491276658
184,160.0,6.919510408495996,12.560480955808721,0.08691426519193786,1.0921731618382895
185,160.0,6.919699067006731,12.560144403985285,0.0869142755589711,1.0921736746001531
186,160.0,6.919888335829648,12.559806762752283,0.08691428603768686,1.0921741873598108
187,160.0,6.920078210412824,12.559468039935304,0.08691429662699847,1.09217470006382
188,160.0,6.920268686190396,12.55912824338423,0.08691430732580732,1.0921752126587532
189,160.0,6.920459758582668,12.55878738097305,0.08691431813300292,1.092175725091201
190,160.0,6.920651422996199,12.558445460599721,0.08691432904746281,1.0921762373077746
191,160.0,6.920843674823952,12.558102490185995,0.08691434006805301,1.0921767492551164
192,160.0,6.921036509445361,12.557758477677243,0.08691435119362768,1.0921772608798987
193,160.0,6.921229922226494,12.557413431042315,0.0869143624230297,1.0921777721288355
194,160.0,6.921423908520111,12.55706735827335,0.0869143737550904,1.0921782829486808
195,160.0,6.921618463665824,12.55672026738563,0.08691438518863,1.0921787932862401
196,160.0,6.921813582990186,12.556372166417397,0.0869143967224575,1.0921793030883715
197,160.0,6.922009261806805,12.556023063429704,0.08691440835537087,1.0921798123019921
198,160.0,6.922205495416458,12.555672966506231,0.08691442008615714,1.0921803208740826
199,160.0,6.922402279107201,12.555321883753138,0.0869144319135925,1.0921808287516912
200,160.0,6.922599608154513,12.554969823298874,0.08691444383644271,1.092181335881944
201,160.0,6.922797477821358,12.554616793294032,0.08691445585346268,1.0921818422120433
202,160.0,6.9229958833583325,12.554262801911166,0.08691446796339695,1.0921823476892754
203,160.0,6.923194820003788,12.553907857344623,0.08691448016497995,1.0921828522610182
204,160.0,6.923394282983925,12.553551967810378,0.08691449245693579,1.0921833558747427
205,160.0,6.923594267512909,12.553195141545874,0.08691450483797848,1.0921838584780192
206,160.0,6.923794768792997,12.552837386809827,0.0869145173068122,1.0921843600185226
207,160.0,6.923995782014655,12.552478711882085,0.08691452986213134,1.0921848604440387
208,160.0,6.9241973023566405,12.552119125063435,0.08691454250262039,1.0921853597024638
209,160.0,6.924399324986172,12.551758634675439,0.08691455522695457,1.0921858577418178
210,160.0,6.9246018450590086,12.551397249060267,0.08691456803379961,1.0921863545102446
211,160.0,6.924804857719567,12.551034976580526,0.0869145809218119,1.0921868499560152
212,160.0,6.9250083581010555,12.550671825619078,0.0869145938896387,1.0921873440275378
213,160.0,6.925212341325582,12.550307804578877,0.08691460693591832,1.0921878366733595
214,160.0,6.925416802504261,12.549942921882785,0.08691462005928012,1.09218832784217
215,160.0,6.925621736737347,12.549577185973419,0.08691463325834475,1.092188817482811
216,160.0,6.92582713911435,12.54921060531295,0.0869146465317243,1.092189305544277
217,160.0,6.92603300471414,12.548843188382959,0.08691465987802233,1.0921897919757229
218,160.0,6.926239328605065,12.548474943684234,0.08691467329583395,1.0921902767264648
219,160.0,6.926446105845082,12.548105879736612,0.08691468678374618,1.0921907597459892
220,160.0,6.926653331481889,12.547736005078802,0.08691470034033813,1.0921912409839598
221,160.0,6.926861000552997,12.547365328268208,0.08691471396418078,1.0921917203902143
222,160.0,6.927069108085891,12.546993857880748,0.0869147276538374,1.0921921979147762
223,160.0,6.927277649098127,12.546621602510688,0.08691474140786368,1.092192673507857
224,160.0,6.927486618597461,12.546248570770455,0.08691475522480772,1.0921931471198618
225,160.0,6.927696011581955,12.545874771290466,0.08691476910321033,1.0921936187013919
226,160.0,6.9279058230401205,12.545500212718947,0.08691478304160515,1.0921940882032535
227,160.0,6.928116047951008,12.545124903721765,0.08691479703851865,1.0921945555764587
228,160.0,6.928326681284344,12.544748852982234,0.08691481109247041,1.0921950207722315
229,160.0,6.928537718000664,12.544372069200948,0.0869148252019735,1.0921954837420156
230,160.0,6.928749153051397,12.5439945610956,0.086914839365534,1.0921959444374731
231,160.0,6.928960981379014,12.5436163374008,0.08691485358165174,1.092196402810494
232,160.0,6.929173197917125,12.5432374068679,0.08691486784882,1.0921968588131963
233,160.0,6.929385797590644,12.542857778264807,0.08691488216552623,1.092197312397939
234,160.0,6.929598775315846,12.542477460375816,0.08691489653025156,1.0921977635173155
235,160.0,6.929812126000532,12.542096462001407,0.08691491094147123,1.0921982121241656
236,160.0,6.930025844544152,12.541714791958093,0.08691492539765507,1.0921986581715815
237,160.0,6.930239925837883,12.541332459078212,0.08691493989726684,1.0921991016129033
238,160.0,6.930454364764813,12.540949472209762,0.08691495443876539,1.0921995424017348
239,160.0,6.930669156200009,12.540565840216214,0.086914969020604,1.0921999804919402
240,160.0,6.930884295010659,12.540181571976328,0.08691498364123086,1.0922004158376502
241,160.0,6.931099776056197,12.539796676383974,0.08691499829908922,1.0922008483932681
242,160.0,6.931315594188416,12.539411162347943,0.08691501299261752,1.0922012781134733
243,160.0,6.931531744251602,12.539025038791772,0.0869150277202496,1.0922017049532255
244,160.0,6.931748221082633,12.538638314653555,0.08691504248041464,1.0922021288677686
245,160.0,6.931965019511121,12.538250998885763,0.08691505727153752,1.092202549812635
246,160.0,6.932182134359532,12.537863100455047,0.08691507209203894,1.0922029677436522
247,160.0,6.932399560443314,12.537474628342071,0.08691508694033577,1.0922033826169455
248,160.0,6.932617292570992,12.53708559154132,0.08691510181484065,1.0922037943889402
249,160.0,6.932835325544309,12.536695999060909,0.08691511671396256,1.092204203016368
250,160.0,6.933053654158368,12.536305859922408,0.08691513163610716,1.092204608456273
251,160.0,6.9332722732017205,12.535915183160643,0.08691514657967651,1.0922050106660133
252,160.0,6.933491177456502,12.535523977823518,0.0869151615430694,1.0922054096032632
253,160.0,6.93371036169856,12.535132252971836,0.08691517652468154,1.0922058052260222
254,160.0,6.9339298206975775,12.534740017679095,0.0869151915229058,1.092206197492616
255,160.0,6.934149549217184,12.53434728103131,0.08691520653613213,1.092206586361701
256,160.0,6.93436954201509,12.533954052126827,0.08691522156274796,1.092206971792268
257,160.0,6.934589793843206,12.533560340076132,0.08691523660113819,1.0922073537436476
258,160.0,6.934810299447768,12.533166154001659,0.08691525164968543,1.0922077321755124
259,160.0,6.935031053569464,12.532771503037614,0.08691526670677027,1.0922081070478833
260,160.0,6.935252050943541,12.532376396329772,0.08691528177077112,1.0922084783211294
261,160.0,6.935473286299948,12.531980843035297,0.0869152968400647,1.0922088459559758
262,160.0,6.935694754363455,12.531584852322549,0.08691531191302602,1.0922092099135063
263,160.0,6.935916449853763,12.531188433370893,0.08691532698802856,1.092209570155165
264,160.0,6.9361383674856585,12.530791595370511,0.08691534206344466,1.092209926642765
265,160.0,6.9363605019690935,12.530394347522217,0.08691535713764517,1.0922102793384856
266,160.0,6.9365828480093406,12.529996699037252,0.08691537220900004,1.0922106282048798
267,160.0,6.936805400307125,12.529598659137106,0.08691538727587854,1.0922109732048804
268,160.0,6.937028153558716,12.529200237053324,0.08691540233664904,1.092211314301798
269,160.0,6.937251102456066,12.528801442027314,0.08691541738967934,1.0922116514593272
270,160.0,6.937474241686956,12.528402283310145,0.08691543243333709,1.0922119846415526
271,160.0,6.937697565935088,12.528002770162379,0.0869154474659896,1.0922123138129485
272,160.0,6.937921069880222,12.527602911853846,0.08691546248600414,1.0922126389383833
273,160.0,6.938144748198298,12.527202717663489,0.08691547749174798,1.0922129599831247
274,160.0,6.938368595561563,12.526802196879132,0.08691549248158878,1.0922132769128396
275,160.0,6.938592606638698,12.526401358797315,0.08691550745389462,1.0922135896936023
276,160.0,6.938816776094938,12.526000212723098,0.08691552240703414,1.092213898291894
277,160.0,6.939041098592203,12.52559876796984,0.08691553733937686,1.0922142026746084
278,160.0,6.93926556878921,12.525197033859042,0.08691555224929307,1.092214502809053
279,160.0,6.939490181341604,12.524795019720134,0.08691556713515418,1.092214798662953
