turn,time_sigma_ns,Q1
0,12.221860854448378,0.022016748752850496
1,12.22186149351827,0.02201676625165724
2,12.221861639985494,0.02201673968495911
3,12.221861293793204,0.02201666904629154
4,12.2218604548489,0.02201655432566301
5,12.221859123024496,0.022016395509557873
6,12.221857298156264,0.022016192580934367
7,12.221854980044888,0.022015945519226393
8,12.22185216845544,0.022015654300343114
9,12.22184886311739,0.02201531889666847
10,12.221845063724636,0.022014939277063286
11,12.221840769935508,0.02201451540686485
12,12.22183598137275,0.02201404724788647
13,12.221830697623579,0.022013534758419495
14,12.221824918239681,0.02201297789323361
15,12.221818642737208,0.022012376603576366
16,12.221811870596834,0.022011730837175537
17,12.221804601263743,0.0220110405382389
18,12.221796834147655,0.02201030564745478
19,12.221788568622856,0.02200952610199369
20,12.221779804028229,0.022008701835509275
21,12.221770539667242,0.02200783277813825
22,12.22176077480801,0.022006918856502456
23,12.221750508683307,0.022005959993709866
24,12.221739740490584,0.02200495610935461
25,12.221728469392032,0.02200390711952047
26,12.221716694514562,0.022002812936779362
27,12.221704414949887,0.022001673470194875
28,12.22169162975451,0.02200048862532215
29,12.221678337949799,0.021999258304210526
30,12.221664538522,0.02199798240540443
31,12.221650230422256,0.021996660823943835
32,12.221635412566703,0.021995293451368674
33,12.221620083836445,0.021993880175717583
34,12.221604243077627,0.021992420881530857
35,12.221587889101473,0.02199091544985241
36,12.221571020684333,0.021989363758231555
37,12.221553636567725,0.02198776568072478
38,12.221535735458364,0.021986121087897017
39,12.221517316028246,0.02198442984682532
40,12.221498376914653,0.0219826918210989
41,12.221478916720221,0.021980906870822374
42,12.221458934013004,0.021979074852618095
43,12.221438427326504,0.021977195619627878
44,12.221417395159765,0.02197526902151697
45,12.221395835977356,0.021973294904473094
46,12.221373748209489,0.02197127311121194
47,12.221351130252042,0.021969203480977927
48,12.22132798046665,0.021967085849548408
49,12.221304297180726,0.02196492004923432
50,12.221280078687538,0.021962705908884116
51,12.221255323246291,0.021960443253886852
52,12.221230029082157,0.021958131906173975
53,12.221204194386361,0.021955771684222986
54,12.221177817316239,0.021953362403059718
55,12.22115089599529,0.021950903874261827
56,12.221123428513279,0.021948395905961926
57,12.221095412926283,0.02194583830285092
58,12.221066847256761,0.021943230866180472
59,12.221037729493625,0.02194057339376691
60,12.221008057592332,0.021937865679994638
61,12.220977829474922,0.02193510751581891
62,12.220947043030131,0.021932298688770304
63,12.220915696113453,0.02192943898295774
64,12.220883786547208,0.021926528179072164
65,12.220851312120628,0.021923566054389835
66,12.22081827058994,0.021920552382777042
67,12.22078465967844,0.0219174869346933
68,12.220750477076583,0.02191436947719532
69,12.220715720442069,0.02191119977394149
70,12.220680387399918,0.021907977585195606
71,12.220644475542569,0.021904702667831132
72,12.220607982429938,0.021901374775334985
73,12.220570905589545,0.021897993657812465
74,12.220533242516575,0.02189455906199143
75,12.220494990673986,0.021891070731226578
