turn,Vrf_kV,time_mean_ns,time_sigma_ns,time_min_ns,time_max_ns,dE_mean_MeV,dE_sigma_MeV,dE_min_MeV,dE_max_MeV,t2,dE2,t_dE,eps_rms,Q1,Q2,Q_amp,theta_Q
576,20.0,0.07645204088518795,10.531636723855556,-21.04662042268913,21.094006193997302,-0.04417548396281034,4.794908413072954,-9.487169647548027,9.52080770294844,110.92121699781849,2.2993098163141147e-05,0.00033240051507703647,0.05050061327056829,-0.0021975629255826033,0.003297685314364678,0.003962828692294387,1.0793056165630373
577,20.0,0.0763920834646567,10.531682172548749,-21.047555547638467,21.094499356361638,-0.04419686801216669,4.794888064650945,-9.486864894672335,9.520362867046636,110.9221651339972,2.299290491567417e-05,0.00033289739250829157,0.05050061361303214,-0.0021933163058549475,0.0033026147453786756,0.003964580756387975,1.078515188429095
578,20.0,0.07633209691751999,10.531727685154141,-21.048482765412416,21.094984594319413,-0.044218235327101625,4.7948676877230145,-9.486556526326467,9.519914402926696,110.92311462326208,2.2992711395105692e-05,0.00033339374565595226,0.05050061395853767,-0.0021890636551222726,0.003307538975070076,0.003966335053646489,1.0777251884691872
579,20.0,0.07627208126656365,10.531773261602412,-21.049402075672162,21.095461907694414,-0.04423958589929004,4.794847282319312,-9.486244542638012,9.519462310774308,110.92406546418425,2.299251760172543e-05,0.00033388957378282244,0.050500614307082636,-0.002184804979767734,0.00331245799612529,0.003968091578544056,1.0769356166563055
580,20.0,0.07621203653459054,10.53181890182414,-21.050313478082302,21.095931296312614,-0.04426091972041333,4.7948268484700245,-9.48592894373606,9.519006590776659,110.92501765533302,2.2992323535823488e-05,0.0003343848761525535,0.050500614658664796,-0.0021805402861830936,0.0033173718012391397,0.00396985032555688,1.076146472960889
581,20.0,0.07615196274441731,10.53186460574982,-21.051216972309504,21.096392760003738,-0.04428223678215949,4.794806386205385,-9.485609729751188,9.518547243122432,110.92597119527566,2.299212919769037e-05,0.000334879652029463,0.05050061501328192,-0.0021762695807687406,0.0033222803831130564,0.0039716112891617665,1.0753577573509625
582,20.0,0.07609185991886576,10.53191037330985,-21.052112558023424,21.096846298599644,-0.044303537076223046,4.79478589555566,-9.485286900815474,9.518084268001816,110.92692608257754,2.2991934587616963e-05,0.00033537390067876635,0.05050061537093175,-0.0021719928699337134,0.0033271837344573635,0.003973374463838078,1.074569469791994
583,20.0,0.07603172808076267,10.53195620443452,-21.053000234897553,21.097291911936026,-0.044324820594305,4.794765376551164,-9.484960457062488,9.517617665606496,110.92788231580174,2.299173970589455e-05,0.0003358676213663589,0.05050061573161197,-0.002167710160096404,0.003332081847989153,0.003975139844066368,1.073781610247126
584,20.0,0.0759715672529607,10.532002099054042,-21.053880002606206,21.097729599850652,-0.04434608732811306,4.794744829222246,-9.4846303986273,9.517147436129656,110.92883989350959,2.2991544552814785e-05,0.0003363608133590267,0.05050061609532027,-0.00216342145768329,0.0033369747164343337,0.003976907424329424,1.0729941786769135
585,20.0,0.0759113774583174,10.532048057098521,-21.054751860829185,21.09815936218513,-0.04436733726936132,4.794724253599299,-9.48429672564646,9.516673579765982,110.92979881426031,2.2991349128669734e-05,0.00033685347592422816,0.0505006164620543,-0.002159126769130164,0.0033418623325255,0.003978677199111187,1.0722071750396116
