turn,Vrf_kV,time_mean_ns,time_sigma_ns,time_min_ns,time_max_ns,dE_mean_MeV,dE_sigma_MeV,dE_min_MeV,dE_max_MeV,t2,dE2,t_dE,eps_rms,Q1,Q2,Q_amp,theta_Q
0,240.0,0.10580794474255763,10.560037101535913,-21.096528887933744,21.152946718527403,-0.09754858660852157,15.90318622276467,-31.612187689202166,31.55227413036031,111.52557890698563,0.0002529208477626814,-7.70838340908655e-05,0.16794980804532392,0.02201827431646184,-0.0002414458179745,0.022019598088021054,-0.0054826308711281415
1,240.0,0.10567738493367806,10.560050701560641,-21.09482703811605,21.153969934266286,-0.09790279636807772,15.90316565358917,-31.611980716254326,31.553422714343636,111.52583852921781,0.0002529202627630349,-0.00010443181902507732,0.16794979452107928,0.022019496245296314,-0.0003271065362077378,0.022021925746461144,-0.007427110814738012
2,240.0,0.10554634268962636,10.560060777537291,-21.093030092807624,21.15489779644298,-0.09825657238271687,15.90315081710066,-31.611629178882104,31.554426942169997,111.52602365573665,0.00025291986026546574,-0.00013178132876023847,0.16794978104377908,0.02202035295105272,-0.0004127720304983245,0.02202422132194684,-0.009371414153936173
3,240.0,0.10541481860282058,10.560067329270925,-21.091138059783418,21.155730301087885,-0.0986099130151805,15.90314171369778,-31.611133078820323,31.555286808880776,111.52613428271623,0.00025291964028089926,-0.000159131867782588,0.16794976761446415,0.022020844413425514,-0.0004984407487734209,0.022026484782196442,-0.011315543620665848
4,240.0,0.10528281326790594,10.560070356626937,-21.089150947235908,21.156467444647717,-0.09896281663007667,15.903138343668886,-31.610492418517197,31.55600231023014,111.52617040768057,0.00025291960281694685,-0.0001864829405470588,0.16794975423417144,0.022020970618734488,-0.0005841111388621302,0.022028716095444836,-0.013259501946877514
5,240.0,0.10515032728176191,10.560069859531035,-21.08706876377181,21.157109223985884,-0.09931528159388861,15.903140707192007,-31.609707201134324,31.55657344268509,111.52613202950329,0.00025291974787790565,-0.00021383405148529366,0.16794974090393358,0.0220207315599239,-0.0006697816485206007,0.02203091523044205,-0.015203291864444057
6,240.0,0.10501736124347842,10.56006583796924,-21.084891518415844,21.157655636384277,-0.09966730627498328,15.903148804334865,-31.608777430546674,31.557000203425467,111.52601914840753,0.0002529200754647576,-0.00024118470501513945,0.16794972762477853,0.022020127236562975,-0.0007554507254617712,0.022033082156453356,-0.017146916105180952
7,240.0,0.10488391575438284,10.560058291987932,-21.082619220608592,21.158106679541504,-0.10001888904361964,15.903162635054844,-31.607703111342513,31.557282590343995,111.52583176596707,0.0002529205855751701,-0.00026853440554952215,0.1679497143977308,0.022019157654848562,-0.0008411168173831673,0.022035216843261627,-0.019090377400820226
8,240.0,0.10474999141801106,10.560047221693809,-21.08025188020531,21.158462351572894,-0.10037002827195718,15.903182199198993,-31.606484248823417,31.55742060204629,111.52556988510523,0.0002529212782034951,-0.00029588265750585686,0.16794970122380992,0.022017822827603003,-0.0009267783719963752,0.02203731926116505,-0.021033678483025762
9,240.0,0.1046155888401225,10.560032627253896,-21.077789507479224,21.15872265101268,-0.1007207223340644,15.903207496504011,-31.60512084900421,31.55741423785087,111.5252335100952,0.00025292215334076894,-0.00032322896531415966,0.16794968810403116,0.022016122774275185,-0.0010124338370524455,0.02203938938097803,-0.022976822083314145
10,240.0,0.10448070862869054,10.560014508895552,-21.07523211311735,21.15888757680969,-0.10107096960592732,15.903238526596256,-31.603612918612903,31.557263497789158,111.5248226465601,0.00025292321097471253,-0.00035057283342684593,0.16794967503940514,0.02201405752094005,-0.0010980816603725974,0.022041427174030813,-0.024919810933096875
11,240.0,0.1043453513938939,10.559992866906454,-21.07257970822471,21.158957128332048,-0.10142076846545804,15.903275288991741,-31.601960465090674,31.556968382605486,111.52433730147271,0.0002529244510897315,-0.0003779137663273889,0.16794966203093792,0.02201162710029886,-0.0011837202898753283,0.022043432612169858,-0.026862647763640335
12,240.0,0.10420951774812559,10.559967701634635,-21.06983230432266,21.158931305365854,-0.10177011729250249,15.903317783096133,-31.60016349659176,31.556528893757097,111.523777483156,0.00025292587366691543,-0.0004052512685395423,0.16794964907963114,0.02200883155168015,-0.0012693481736052983,0.022045405667759137,-0.028805335306064796
13,240.0,0.1040732083059866,10.559939013488417,-21.06698991334673,21.15881010811188,-0.10211901446884988,15.903366008204761,-31.59822202198344,31.55594503341411,111.52314320128183,0.00025292747868403876,-0.0004325848446360478,0.16794963618648123,0.022005670921036377,-0.0013549637597606223,0.022047346313677087,-0.030747876291312624
14,240.0,0.10393642368428366,10.559906802936464,-21.064052547648345,21.158593537190143,-0.10246745837824063,15.90341996350263,-31.596136050845935,31.555216804459523,111.52243446687208,0.00025292926611556046,-0.0004599139992482038,0.16794962335248012,0.022002145260946446,-0.0014405654967228146,0.02204925452331975,-0.032690273450169366
15,240.0,0.10379916450201726,10.55987107050774,-21.064637479062412,21.158281593636985,-0.10281544740637466,15.903479648064414,-31.593905593472353,31.554344210489194,111.52165129229759,0.0002529312359326244,-0.00048723823707416295,0.16794961057861468,0.021998254630613175,-0.0015261518330828058,0.02205113027059874,-0.03463252951320214
16,240.0,0.10366143138038997,10.559831816791526,-21.06818816111999,21.1578742789076,-0.10316297994091986,15.903545060854492,-31.591530660868575,31.553327255811787,111.52079369127844,0.0002529333881030597,-0.0005145570628883148,0.16794959786586694,0.021993999095863633,-0.0016117212176703134,0.022052973529942375,-0.036574647210770174
17,240.0,0.10352322494279578,10.559789042437401,-21.071643869166195,21.157371594871393,-0.10351005437152105,15.903616200726951,-31.589011264753207,31.55216594544876,111.51986167888357,0.0002529357225913807,-0.0005418699815505742,0.16794958521521372,0.02198937872914781,-0.001697272099582942,0.022054784276295262,-0.03851662927303143
18,240.0,0.1033845458148325,10.559742748155239,-21.07500458798748,21.15677354381748,-0.10385666908980759,15.903693066425587,-31.586347417557455,31.550860285134327,111.5188552715305,0.0002529382393587878,-0.0005691764980148758,0.16794957262762683,0.021984393609537564,-0.00178280292821279,0.022056562485118125,-0.04045847842989245
19,240.0,0.10324539462427643,10.559692934715205,-21.07827030278787,21.156080128452146,-0.10420282248940231,15.903775656583965,-31.583539132425052,31.551497353554858,111.51777448698532,0.00025294093836316744,-0.0005964761173384611,0.16794956010407291,0.0219790438227262,-0.0018683121532755418,0.02205830813238848,-0.042400197411013314
20,240.0,0.1031057720011016,10.559639602947723,-21.081440999186015,21.155291351897944,-0.10454851296592997,15.903863969725402,-31.580586423212125,31.55670611711392,111.51661934436187,0.0002529438195590932,-0.0006237683446908751,0.16794954764551323,0.021973329461026012,-0.0019537982248386382,0.022060021194599436,-0.04434178894579521
21,240.0,0.10296567857745909,10.559582753743513,-21.084516663218153,21.154407217694654,-0.10489373891702515,15.90395800426302,-31.57748930448711,31.561770541109187,111.51538986412235,0.0002529468828978258,-0.0006510526853628903,0.16794953525290396,0.021967250623368895,-0.0020392595933492407,0.022061701648761547,-0.04628325576335766
22,240.0,0.10282511498768647,10.559522388053518,-21.087497281335175,21.15342772980003,-0.10523849874234116,15.904057758499759,-31.574247791530624,31.56669060053817,111.51408606807571,0.00025295012832731394,-0.0006783286447757052,0.16794952292719548,0.021960807415302156,-0.0021246947096630357,0.022063349472400157,-0.04822460059254393
23,240.0,0.10268408186829683,10.559458506888946,-21.09038284040463,21.152352892588567,-0.10558279084355833,15.904163230628408,-31.57086190033535,31.571466271110246,111.51270797937848,0.000252953555792195,-0.0007055957284896322,0.167949510669333,0.021953999948989666,-0.0022101020250714495,0.022064964643557967,-0.050165826161879944
24,240.0,0.10254257985797945,10.559391111321233,-21.093173327709195,21.151182710851486,-0.10592661362439217,15.90427441873166,-31.56733164760589,31.576097529246844,111.5112556225338,0.0002529571652337961,-0.0007328534422134062,0.16794949848025623,0.021946828343208834,-0.0022954799913308004,0.022066547140793792,-0.05210693519958513
25,240.0,0.10240060959760369,10.559320202482024,-21.095868730949547,21.149917189797662,-0.1062699654906018,15.904391320782096,-31.563657050758664,31.58058435208165,111.50972902339096,0.00025296095659013413,-0.0007601012918130359,0.16794948636089901,0.021939292723348377,-0.002380827060690035,0.022068096943182052,-0.05404793043355007
26,240.0,0.10225817173020044,10.559245781563172,-21.098469038241348,21.148556335053485,-0.10661284484999876,15.904513934642281,-31.559838127921765,31.584926717460764,111.50812820914523,0.0002529649297959175,-0.0007873387833208437,0.1679494743121897,0.02193139322140738,-0.0024661416859190297,0.02206961403031374,-0.05598881459132369
