turn,Vrf_kV,K0_GeV,phi_s_deg,time_mean_ns,time_sigma_ns,time_min_ns,time_max_ns,dE_mean_MeV,dE_sigma_MeV,dE_min_MeV,dE_max_MeV,t2,dE2,t_dE,eps_rms,Q1,Q2,Q_amp,theta_Q,gamma,distribution_J,form_factor_F,half_bunch_length_ns,peak_current_A,rms_dpp,Zon_ohm,unstable
10,30.007947891774045,24.0,0.0,0.019785833777331337,11.363750178918215,-27.298124571364298,27.51486542554437,0.027738180091072238,6.303972810314529,-15.182662619651957,15.474005468833525,129.13520960808202,3.974084259981964e-05,4.9944198971261804e-05,0.07163755680302401,0.0024476794438739254,0.00023245085715191578,0.002458692347764077,0.04734194230793918,26.57893624393974,1.5,1.0,27.83538950281067,7.3286369779502865,0.0002531413979719426,16.99966684780766,False
11,30.00961628267259,24.0,0.0,0.019823481407369982,11.363759179419299,-27.299340648488936,27.5156914707334,0.027729867584683963,6.303967685239391,-15.184154081371476,15.474183846908016,129.1354156582515,3.974077752209875e-05,4.9647134032334996e-05,0.07163755550729242,0.0024482184027631152,0.0002310682541448459,0.0024590985921067758,0.04705172119135022,26.57893624393974,1.5,1.0,27.835411549445755,7.328631173409377,0.0002531411921701848,16.99965267098491,False
12,30.011443302594312,24.0,0.0,0.019861117863006567,11.363768144664592,-27.300541687995008,27.51650236474299,0.027721539115900088,6.303962580078343,-15.185637073669785,15.474353499714573,129.1356209096965,3.974071269475895e-05,4.934662285527454e-05,0.07163755421664232,0.0024487552802975143,0.0002296696116171802,0.0024595020945885255,0.046758389084929804,26.57893624393974,1.5,1.0,27.835433509722144,7.328625391614526,0.0002531409871680943,16.999638548802963,False
13,30.013428879198575,24.0,0.0,0.019898743122783235,11.363777074246698,-27.301727688335802,27.517298106229305,0.027713194643194154,6.303957495044779,-15.187111602337373,15.474514426929517,129.1358253531527,3.974064812048859e-05,4.90423822956636e-05,0.07163755293107972,0.0024492900532342215,0.0002282536117549612,0.0024599027371323607,0.04646168017774216,26.57893624393974,1.5,1.0,27.83545538264192,7.328619632828364,0.0002531407829742401,16.99962448180351,False
14,30.015572933865986,24.0,0.0,0.01993635716518983,11.363785967724732,-27.302898647893073,27.518078693775266,0.02770483412482624,6.303952430371162,-15.188577673030435,15.474666628095942,129.13602897859457,3.9740583802216357e-05,4.873412935627856e-05,0.07163755165061068,0.0024498226963396716,0.00022681893742930348,0.0024603004031779406,0.0461613289220336,26.57893624393974,1.5,1.0,27.83547716712514,7.328613897335113,0.0002531405795979568,16.999610470580993,False
15,30.017875381701433,24.0,0.0,0.019973959968662747,11.363794824624328,-27.304054564976553,27.5188441258922,0.027696457518845096,6.303947386309015,-15.19003529127064,15.474810102623792,129.1362317752355,3.974051974311135e-05,4.842158119897455e-05,0.07163755037524122,0.0024503531823895424,0.00022536427225170372,0.0024606949777764204,0.04585707003918251,26.57893624393974,1.5,1.0,27.835498862009857,7.328608185440585,0.00025314037704934477,16.99959651578261,False
16,30.02033613153708,24.0,0.0,0.020011551511575954,11.36380364443767,-27.30519543782441,27.5195944010199,0.027688064783090223,6.303942363128941,-15.191484462444881,15.47494484978991,129.13643373152883,3.9740455946583124e-05,4.810445515651425e-05,0.07163754910497752,0.0024508814821695376,0.00022388830062910323,0.002461086347692851,0.04554863852536818,26.57893624393974,1.5,1.0,27.83552046605217,7.328602497472167,0.0002531401753392701,16.999582618108384,False
17,30.022955085935912,24.0,0.0,0.02004913177225095,11.363812426623507,-27.306321264603696,27.52032951752443,0.027679655875193988,6.303937361120616,-15.192925191805061,15.475070868738138,129.13663483516768,3.9740392416281736e-05,4.778246874452261e-05,0.07163754783982575,0.002451407564475493,0.00022238970781952012,0.0024614744015146123,0.04523576965716188,26.57893624393974,1.5,1.0,27.835541977926297,7.3285968337788,0.0002531399744793651,16.999568778311215,False
18,30.025732141195345,24.0,0.0,0.02008670072894919,11.36382117060717,-27.30743204340814,27.521049473701993,0.02767123075258376,6.303932380592804,-15.194357484467863,15.47518815847939,129.13683507308588,3.9740329156097814e-05,4.7455339673298554e-05,0.07163754657979213,0.0024519313961137994,0.00022086717998702645,0.0024618590297667306,0.044918198996782954,26.57893624393974,1.5,1.0,27.835563396224593,7.32859119473098,0.00025313977448202836,16.999554997196963,False
19,30.028667187351058,24.0,0.0,0.02012425835988196,11.363829875780608,-27.308527772263318,27.521754267775066,0.02766278937248404,6.303927421873347,-15.195781345414552,15.475296717891762,129.1370344314584,3.974026617016261e-05,4.712278585965887e-05,0.07163754532488298,0.0024524529419020437,0.00021931940425687287,0.0024622401250340266,0.044595662397194466,26.57893624393974,1.5,1.0,27.835584719457636,7.328585580720731,0.00025313957536042466,16.999541275624427,False
20,30.031760108181185,24.0,0.0,0.020161804643194583,11.363838541502394,-27.309608449120674,27.522443897895016,0.027654331691918634,6.303922485309185,-15.197196779490772,15.475396545720633,129.13723289570174,3.974020346284805e-05,4.678452543886877e-05,0.07163754407510466,0.002452972164669214,0.00021774506877101488,0.0024626175820894446,0.04426789600711227,26.57893624393974,1.5,1.0,27.835605946054265,7.328579992161592,0.0002531393771284857,16.999527614505517,False
21,30.035010781210552,24.0,0.0,0.020199339556979057,11.363847167097777,-27.310674071860518,27.523118362141616,0.027645857667712815,6.303917571266353,-15.198603791406352,15.475487640578779,129.1374304504747,3.9740141038766856e-05,4.64402767764048e-05,0.07163754283046359,0.002453489025256344,0.0002161428627428586,0.002462991298029289,0.04393463627568384,26.57893624393974,1.5,1.0,27.835627074361682,7.328574429488598,0.00025313917980090994,16.99951401480526,False
22,30.038419077715343,24.0,0.0,0.020236863079269522,11.363855751858683,-27.31172463829327,27.523777658522647,0.027637367256495526,6.303912680129986,-15.200002385735134,15.47557000094651,129.13762707967894,3.974007890277248e-05,4.6089758479813325e-05,0.07163754159096619,0.002454003482517128,0.00021451147651245847,0.002463361172414989,0.04359561995710698,26.57893624393974,1.5,1.0,27.835648102645468,7.328568893158268,0.00025313898339316283,16.999500477541865,False
23,30.041984862727876,24.0,0.0,0.020274375188039383,11.363864295043756,-27.31276014615733,27.524421784973867,0.02762886041470157,6.303907812304326,-15.2013925669148,15.475643625171793,129.13782276645958,3.974001705995933e-05,4.573268941056373e-05,0.07163754035661908,0.002454515493318233,0.00021284960160167444,0.0024637271074210393,0.04325058411510637,26.57893624393974,1.5,1.0,27.835669029089672,7.328563383648586,0.000253138787921477,16.999487003786793,False
24,30.045707995041635,24.0,0.0,0.02031187586120468,11.363872795878391,-27.313780593119986,27.525050739359074,0.027620337098573842,6.303902968212729,-15.20277433924671,15.475708511470414,129.13801749320595,3.973995551566271e-05,4.5368788695896674e-05,0.07163753912742878,0.0024550250125402293,0.00021115593076932897,0.0024640890079900145,0.04289926612727371,26.57893624393974,1.5,1.0,27.835689851796914,7.32855790145897,0.0002531385934028527,16.99947359466487,False
25,30.04958832721655,24.0,0.0,0.02034936507662649,11.363881253554757,-27.314785976776932,27.525664519470922,0.02761179726416553,6.30389814829767,-15.204147706895759,15.475764657926117,129.13821124155228,3.973989427545895e-05,4.499777574053411e-05,0.07163753790340195,0.0024555319930779176,0.0002094291580656941,0.002464446781993337,0.04254140368917205,26.57893624393974,1.5,1.0,27.83571056878842,7.328552447110268,0.0002531383998550579,16.999460251354343,False
26,30.053625705584558,24.0,0.0,0.02038684281209672,11.36388966723184,-27.315776294653574,27.526263123030873,0.027603240867342435,6.303893353020744,-15.205512673890219,15.475812062490778,129.13840399237844,3.973983334516549e-05,4.461937023855248e-05,0.0716375366845453,0.002456036385841272,0.00020766797888776238,0.0024648003403991135,0.04217673481849255,26.57893624393974,1.5,1.0,27.83573117800413,7.3285470211447254,0.00025313820729662824,16.99944697508693,False
27,30.057819970255277,24.0,0.0,0.020424309045363236,11.363898036035467,-27.316751544203726,27.52684654768757,0.027594667863785165,6.303888582862676,-15.206869244121624,15.475850722984577,129.1385957258107,3.97397727308409e-05,4.4233292185196456e-05,0.07163753547086556,0.002456538139755899,0.0002058710900342279,0.002465149597445813,0.04180499785908195,26.57893624393974,1.5,1.0,27.835751677302778,7.328541624125965,0.00025313801574686776,16.999433767147938,False
28,30.06217095512203,24.0,0.0,0.020461763754102368,11.363906359058344,-27.31771172281131,27.527414791020163,0.027586078208991425,6.303883838323328,-15.208217421344639,15.475880637096177,129.13878642122256,3.973971243878501e-05,4.3839261888625245e-05,0.07163753426236959,0.002457037201763997,0.00020403718976015454,0.002465494470822734,0.04142593148483659,26.57893624393974,1.5,1.0,27.835772064461946,7.328536256638969,0.0002531378252258488,16.999420628876354,False
29,30.066678487868057,24.0,0.0,0.020499206915930008,11.363914635360105,-27.31865682778829,27.527967850535447,0.027577471858278364,6.303879119921704,-15.209557209176952,15.475901802382928,129.1389760572358,3.973965247553893e-05,4.343699998166084e-05,0.07163753305906427,0.002457533516825104,0.00020216497783165274,0.002465834881856536,0.04103927470355863,26.57893624393974,1.5,1.0,27.835792337178216,7.328530919290047,0.00025313763575441245,16.999407561664924,False
30,30.071342389972905,24.0,0.0,0.020536638508410643,11.363922863967336,-27.31958685637585,27.528505723669866,0.027568848766784785,6.303874428195954,-15.210888611099165,15.475914216271054,129.1391646117208,3.973959284788519e-05,4.3026227433601247e-05,0.07163753186095652,0.002458027027916737,0.00020025315558086667,0.0024661707557039276,0.04064476686085281,26.57893624393974,1.5,1.0,27.835812493067223,7.328525612706816,0.0002531374473541685,16.999394566960216,False
31,30.076162476719173,24.0,0.0,0.020574058509041978,11.36393104387362,-27.320501805745323,27.529028407787877,0.027560208889473612,6.303869763703381,-15.212211630454702,15.475917876055878,129.13935206179812,3.973953356284775e-05,4.2606665561915644e-05,0.07163753066805337,0.0024585176760355118,0.00019830042596040236,0.002466502021550992,0.04024214764389867,26.57893624393974,1.5,1.0,27.835832529663765,7.328520337538173,0.000253137260047496,16.99938164626276,False
32,30.081138557199377,24.0,0.0,0.020611466895262765,11.363939174039581,-27.3214016729965,27.529535900182793,0.02755155218113402,6.303865127020449,-15.21352627044973,15.475912778902035,129.13953838383895,3.973947462769214e-05,4.2178036044027214e-05,0.0716375294803619,0.0024590054001977875,0.00019630549359816484,0.0024668286128182275,0.03983115708533141,26.57893624393974,1.5,1.0,27.835852444421896,7.328515094454265,0.0002531370738575433,16.999368801127115,False
33,30.086270434323087,24.0,0.0,0.020648863644454805,11.363947253392915,-27.32228645516051,27.530028198076764,0.027542878596383987,6.303860518742791,-15.21483253415308,15.475898921843706,129.1397235534662,3.973941604992551e-05,4.174006092906071e-05,0.07163752829788918,0.0024594901374405537,0.00019426706485204136,0.0024671504673719397,0.039411535567128037,26.57893624393974,1.5,1.0,27.835872234715012,7.328509884146481,0.00025313688880822856,16.999356033161963,False
34,30.09155790482433,24.0,0.0,0.020686248733935354,11.363955280828458,-27.323156149196507,27.530505298622472,0.02753418808967257,6.303855939485211,-15.216130424496182,15.475876301784856,129.13990754555567,3.9739357837296734e-05,4.129246264947342e-05,0.07163752712064245,0.0024599718228227236,0.0001921838478640244,0.002467467527742073,0.038983023824438134,26.57893624393974,1.5,1.0,27.83589189783604,7.328504707327382,0.0002531367049242398,16.999343344030265,False
35,30.097000759269186,24.0,0.0,0.02072362214096078,11.363963255208201,-27.324010751993768,27.530967198901067,0.027525480615282233,6.303851389881691,-15.217419944273011,15.475844915499488,129.14009033423682,3.973929999779643e-05,4.083496403278955e-05,0.0716375259486289,0.002460450389425809,0.00019005455261483732,0.002467779741345496,0.03854536294961545,26.57893624393974,1.5,1.0,27.835911430997424,7.328499564730722,0.00025313652223103505,16.999330735449245,False
36,30.102598782063573,24.0,0.0,0.020760983842725074,11.363971175361366,-27.324850260372102,27.53141389592335,0.027516756127331333,6.303846870585402,-15.218701096140041,15.47580475963189,129.1402718928941,3.973924253965715e-05,4.0367288313331354e-05,0.07163752478185592,0.002460925768355198,0.0001878778909785229,0.002468087060715882,0.038098294396347536,26.57893624393974,1.5,1.0,27.835930831331357,7.328494457111376,0.000253136340754843,16.99931820919065,False
37,30.108351751461367,24.0,0.0,0.02079833381636201,11.363979040084432,-27.325674671079355,27.531845386628987,0.02750801457977645,6.3038423822687095,-15.219973882616207,15.475755830696915,129.1404521941678,3.973918547135336e-05,3.9889159143799075e-05,0.07163752362033084,0.0024613978887408406,0.00018565257677634627,0.0024683894437388856,0.03764155998379881,26.57893624393974,1.5,1.0,27.835950095889842,7.328489385245334,0.00025313616052266303,16.999305767080756,False
38,30.11425943957271,24.0,0.0,0.020835672038944413,11.363986848141193,-27.326483980795132,27.532261667888207,0.027499255926414903,6.303837925623175,-15.221238306082883,15.475698125080251,129.14063120995533,3.9739128801601593e-05,3.940030060708381e-05,0.07163752246406109,0.0024618666777388195,0.00018337732583176836,0.002468686853894188,0.03717490190112723,26.57893624393974,1.5,1.0,27.835969221644792,7.32848434992966,0.00025313598156226537,16.999293411000483,False
39,30.120321612372482,24.0,0.0,0.020872998487477125,11.363994598262815,-27.327278186129178,27.532662736499645,0.027490480120887017,6.30383350135957,-15.22249436878386,15.475631639038713,129.14080891141228,3.973907253936053e-05,3.890043722768357e-05,0.07163752131305419,0.0024623320605321594,0.0001810508560235877,0.0024689792605024903,0.036698062711843824,26.57893624393974,1.5,1.0,27.83598820548821,7.328479351982457,0.0002531358039021917,16.999281142885565,False
40,30.126538029709067,24.0,0.0,0.020910313138915098,11.36400228914788,-27.32805728362095,27.533048589193754,0.027481687116678765,6.30382911020788,-15.223742072825337,15.475556368700532,129.1409852689538,3.973901669383104e-05,3.8389293983536274e-05,0.07163752016731771,0.0024627939603323002,0.0001786718873410021,0.0024692666389791226,0.03621078535878199,26.57893624393974,1.5,1.0,27.836007044232286,7.328474392242837,0.0002531356275717552,16.999268964726618,False
41,30.132908445313422,24.0,0.0,0.02094761597013626,11.364009919462436,-27.328821269740416,27.533419222628993,0.027472876867124064,6.303824752917307,-15.224981420175931,15.475472310065665,129.14116025225547,3.9738961274456314e-05,3.78665963175332e-05,0.07163751902685925,0.00246325229837984,0.0001762391419372041,0.0024695489710925608,0.03571281316904623,26.57893624393974,1.5,1.0,27.836025734609528,7.328469471570888,0.0002531354526010406,16.999256878569245,False
42,30.13943260680818,24.0,0.0,0.020984906957967932,11.364017487840067,-27.33066351508947,27.53377463339646,0.02746404932540733,6.30382043025629,-15.226212412666682,15.475379459006104,129.1413338302549,3.9738906290921946e-05,3.733207014910734e-05,0.07163751789168651,0.002463706993946367,0.0001737513441833098,0.0024698262452297636,0.03520388985931041,26.57893624393974,1.5,1.0,27.836044273272904,7.328464590847633,0.00025313527902090543,16.99924488651425,False
43,30.146110255717165,24.0,0.0,0.02102218607917055,11.364024992881939,-27.332631487000953,27.534114818014018,0.027455204444565968,6.303816143012492,-15.227435051991074,15.475277811266206,129.14150597115292,3.973885175315599e-05,3.678544188590001e-05,0.07163751676180728,0.002464157964335541,0.00017120722072266325,0.002470098456666425,0.034683759541536865,26.57893624393974,1.5,1.0,27.83606265679599,7.3284597509749965,0.0002531351068629788,16.999232990717623,False
44,30.152941127475053,24.0,0.0,0.02105945331043792,11.364032433156858,-27.33458433549788,27.53443977293219,0.027446342177492835,6.303811891992826,-15.228649339705068,15.47516736246302,129.1416766424147,3.973879767132909e-05,3.6226438435217895e-05,0.07163751563722937,0.0024646051248841676,0.00016860550052415335,0.002470365607842755,0.03415216672886612,26.57893624393974,1.5,1.0,27.836080881673084,7.3284549528757665,0.00025313493615966305,16.99922119339078,False
45,30.15992495143729,24.0,0.0,0.021096708628401437,11.364039807201326,-27.336522056122732,27.534749494532008,0.027437462476938734,6.303807678023449,-15.229855277227145,15.475048108086634,129.1418458107713,3.9738744055854565e-05,3.56547872156295e-05,0.07163751451796066,0.0024650483889638473,0.00016594491493619146,0.002470627708645404,0.033608856342040104,26.57893624393974,1.5,1.0,27.83609894431937,7.3284501974935585,0.0002531347669441332,16.99920949680063,False
46,30.167061450890202,24.0,0.0,0.021133952009633677,11.364047113519614,-27.33844464435026,27.535043979125078,0.02742856529551502,6.303803501949777,-15.231052865838345,15.474920043500516,129.142013442221,3.9738690917388445e-05,3.5070216168531996e-05,0.07163751340400909,0.002465487667982496,0.0001632241977405421,0.002470884776694739,0.033053573716245614,26.57893624393974,1.5,1.0,27.836116841071078,7.328445485792773,0.00025313459925033774,16.999197903269714,False
47,30.174350343061388,24.0,0.0,0.021171183430640176,11.364054350583807,-27.340352095584876,27.535323222952258,0.027419650585696013,6.303799364636487,-15.23224210668234,15.474783163941886,129.14217950203061,3.9738638266829625e-05,3.4472453769566245e-05,0.07163751229538269,0.002465922871385395,0.00016044208520545652,0.002471136837637015,0.032486064608311944,26.57893624393974,1.5,1.0,27.83613456818558,7.328440818758565,0.0002531344331129984,16.99918641517633,False
48,30.18179133913026,24.0,0.0,0.02120840286786062,11.364061516833887,-27.342244405162802,27.5355872221875,0.027410718299821682,6.303795266967528,-15.233423000765491,15.47463746452208,129.1423439547371,3.973858611531992e-05,3.386122904018734e-05,0.07163751119208953,0.002466353906657163,0.00015759731613951722,0.002471383925442874,0.03190607520457084,26.57893624393974,1.5,1.0,27.83615212184165,7.328436197396781,0.00025313426856761093,16.999175034954707,False
49,30.18938414423893,24.0,0.0,0.021245610297680195,11.364068610677778,-27.344121568352534,27.535835972935303,0.027401768390100098,6.303791209846124,-15.234595548956932,15.474482940226926,129.14250676414883,3.973853447424415e-05,3.3236271559112896e-05,0.07163751009413775,0.0024667806793229603,0.00015468863194492493,0.0024716260827103357,0.03131335212918925,26.57893624393974,1.5,1.0,27.836169498139498,7.3284316227339446,0.000253134105650445,16.999163765095066,False
50,30.19712845750322,24.0,0.0,0.021282805696407812,11.364075630491424,-27.345983580350946,27.53606947122944,0.027392800808610042,6.303787194194783,-15.235759751988656,15.474319585917131,129.14266789334732,3.9738483355230276e-05,3.2597311473782875e-05,0.07163750900153562,0.0024672030929503447,0.00015171477667083678,0.0024718633609736662,0.030707642453124434,26.57893624393974,1.5,1.0,27.836186693101023,7.328427095817193,0.00025313394439854483,16.999152608143838,False
51,30.205023972023906,24.0,0.0,0.021319989040295986,11.36408257461885,-27.347830436288035,27.536287713038007,0.027383815507303635,6.303783220955306,-15.236915610455616,15.474147396328684,129.1428273046885,3.973843277014938e-05,3.1944079511773485e-05,0.07163750791429138,0.0024676210491505063,0.0001486744970664826,0.0024720958210167777,0.030088693703709757,26.57893624393974,1.5,1.0,27.836203702669923,7.328422617714255,0.0002531337848497292,16.999141566703727,False
52,30.213070374898297,24.0,0.0,0.02135716030553006,11.364089441372245,-27.34966213122601,27.53649069425927,0.027374812438008853,6.303779291088788,-15.238063124815824,15.473966366073256,129.14298495980447,3.9738382731115875e-05,3.1276306992259376e-05,0.07163750683241336,0.002468034447580431,0.00014556654263451975,0.0024723235331926543,0.02945625387499304,26.57893624393974,1.5,1.0,27.836220522711933,7.328418189513372,0.0002531336270425917,16.99913064343391,False
53,30.221267347231883,24.0,0.0,0.02139431946823097,11.364096229032,-27.351478660157227,27.53667841072331,0.027365791552432177,6.303775405575633,-15.239202295390474,15.473776489638615,129.14314081960484,3.973833325048753e-05,3.059372583736284e-05,0.07163750575590998,0.0024684431859440304,0.0001423896656838513,0.0024725465777467315,0.02881007143874562,26.57893624393974,1.5,1.0,27.836237149014877,7.328413812323298,0.00025313347101650125,16.99911984105014,False
54,30.22961456415034,24.0,0.0,0.021431466504454974,11.364102935846823,-27.353280018007126,27.53685085819197,0.02735675280216123,6.303771565415553,-15.24033312236406,15.473577761389048,129.1432948442789,3.973828434086553e-05,2.989606858356817e-05,0.07163750468478973,0.0024688471599946375,0.0001391426213827473,0.0024727650451465966,0.02814989535633392,26.57893624393974,1.5,1.0,27.836253577288996,7.328409487273212,0.0002531333168116022,16.999109162324896,False
55,30.23811169481166,24.0,0.0,0.021468601390191244,11.364109560033771,-27.355066199633768,27.53700803235978,0.027347696138667412,6.303767771627578,-15.241455605784523,15.4733701755658,129.14344699329664,3.973823601509462e-05,2.9183068392976956e-05,0.07163750361906117,0.0024692462635361096,0.0001358241678112367,0.0024729790364151198,0.027475475091331723,26.57893624393974,1.5,1.0,27.836269803166974,7.3284052155127,0.00025313316446881444,16.99909861008753,False
56,30.24675840241862,24.0,0.0,0.02150572410136773,11.364116099778352,-27.356837199825378,27.537149928852244,0.02733862151330849,6.303764025250065,-15.242569745563383,15.473153726287507,129.14359722541067,3.973818828626316e-05,2.8454459064748115e-05,0.07163750255873289,0.0024696403884249354,0.0001324330660143474,0.002473188663469414,0.02678656062321753,26.57893624393974,1.5,1.0,27.836285822204246,7.32840099821169,0.0002531330140298342,16.999088187224448,False
57,30.255554344231356,24.0,0.0,0.02154283461384569,11.364122553234582,-27.3585930133045,27.537276543228785,0.02732952887733128,6.303760327340699,-15.243675541475898,15.472928407550649,129.14374549865803,3.973814116770317e-05,2.7709975046413095e-05,0.07163750150381352,0.00247002942457226,0.0001289680800547675,0.0024733940494643756,0.026082902461938916,26.57893624393974,1.5,1.0,27.836301629879088,7.328396836560419,0.0002531328655371337,16.999077896679182,False
58,30.264499171580262,24.0,0.0,0.021579932903416955,11.364128918525074,-27.360333634725947,27.537387870981064,0.027320418181874345,6.3037566789765025,-15.24477299316123,15.472694213230012,129.143891770362,3.97380946729905e-05,2.6949351445078164e-05,0.07163750045431191,0.00247041325994565,0.00012542797706498773,0.0024735953291405424,0.02536425166341549,26.57893624393974,1.5,1.0,27.836317221592857,7.328392731769366,0.0002531327190339617,16.999067741452603,False
59,30.273592529879007,24.0,0.0,0.021617018945813398,11.364135193741111,-27.362059058676323,27.537483907533414,0.027311289377970647,6.303753081253843,-15.245862100122613,15.472451137079153,129.14403599713344,3.973804881594481e-05,2.6172324038761037e-05,0.0716374994102368,0.0024707917805710873,0.00012181152730006446,0.002473792649176729,0.02463035984626477,26.57893624393974,1.5,1.0,27.836332592670175,7.328388685069215,0.0002531325745643438,16.99905772460305,False
60,30.282834058637892,24.0,0.0,0.021654092716699762,11.364141376942726,-27.363769279675324,27.53756464824241,0.027302142416550223,6.3037495352884365,-15.246942861727533,15.47219917273088,129.1441781348731,3.973800361062971e-05,2.5378629287558264e-05,0.07163749837159704,0.002471164870535006,0.00011811750418958787,0.002473986168547082,0.023880979209528568,26.57893624393974,1.5,1.0,27.836347738359105,7.3283846977108,0.00025313243217308236,16.999047849246452,False
61,30.29222339147737,24.0,0.0,0.021691154191673803,11.364147466158785,-27.365464292177023,27.537630088399396,0.02729297724844288,6.303746042215354,-15.248015277207925,15.471938313697732,129.1443181387733,3.973795907135282e-05,2.4568004344927968e-05,0.07163749733840165,0.002471532411986522,0.00011434468439020471,0.002474176058882676,0.023115862551733722,26.57893624393974,1.5,1.0,27.836362653831387,7.328380770965049,0.0002531322919057573,16.999038118556562,False
62,30.3017601561418,24.0,0.0,0.021728203346272793,11.364153459387062,-27.36714409056725,27.53768022322754,0.027283793824380946,6.303742603189028,-15.249079345660375,15.47166855337248,129.1444559633196,3.9737915212665835e-05,2.3740187068883126e-05,0.0716374963106596,0.0024718942851392855,0.00011049184783770428,0.0024743625048369226,0.02233476329115701,26.57893624393974,1.5,1.0,27.836377334182576,7.328376906122936,0.0002531321538087258,16.999028535765017,False
