turn,time_sigma_ns,Q1
0,10.877869392358699,-0.0034818310423638693
1,10.877874748905523,-0.003481385071763741
2,10.877880454607084,-0.0034809074264882584
3,10.877886509424842,-0.0034803981102367446
4,10.8778929133182,-0.0034798571268908154
5,10.877899666244508,-0.0034792844805149373
6,10.877906768159052,-0.0034786801753561945
7,10.877914219015057,-0.0034780442158444855
8,10.877922018763694,-0.003477376606592195
9,10.877930167354068,-0.003476677352394411
10,10.877938664733229,-0.0034759464582287776
11,10.877947510846173,-0.003475183877494262
12,10.877956681108037,-0.0034743918073392335
13,10.877966150931991,-0.0034735724502516973
14,10.877975895729376,-0.0034727280140469147
15,10.877985890909876,-0.003471860711855349
16,10.87799611188162,-0.0034709727621108698
17,10.87800653405137,-0.003470066388537569
18,10.878017132824636,-0.003469143820137822
19,10.878027883605844,-0.003468207291179271
20,10.878038761798441,-0.003467259041183145
21,10.878049742805096,-0.003466301314909731
22,10.878060802027823,-0.003465336362346097
23,10.87807191486808,-0.0034643664386945394
24,10.878083056727,-0.003463393804356651
25,10.878094203005471,-0.003462420724921978
26,10.878105329104308,-0.003461449471153847
27,10.878116410424408,-0.003460482318975506
28,10.878127422366871,-0.003459521549457267
29,10.878138340333173,-0.003458569448801872
30,10.878149139725302,-0.0034576283083307333
31,10.878159795945903,-0.0034567004244701154
32,10.878170284398424,-0.0034557880987370494
33,10.878180580487287,-0.003454893637723956
34,10.878190659618,-0.0034540193530857594
35,10.878200497197335,-0.0034531675615239172
36,10.878210068633477,-0.0034523405847721755
37,10.878219349336147,-0.0034515407495821697
38,10.878228314716752,-0.003450770387708986
39,10.878236940188572,-0.003450031835894201
40,10.878245201166877,-0.0034493274358523523
41,10.878253073069084,-0.003448659534254771
42,10.878260531314917,-0.003448030482714229
43,10.878267551326543,-0.0034474426377698038
44,10.878274108528718,-0.0034468983608712373
45,10.878280178348964,-0.003446400018362008
46,10.878285736217704,-0.0034459499814644013
47,10.878290757568394,-0.0034455506262634464
48,10.878295217837708,-0.0034452043336901453
49,10.878299092465667,-0.0034449134895055463
50,10.878302356895801,-0.00344468048428417
51,10.878304986575301,-0.0034445077133967677
52,10.878306956955159,-0.0034443975769949233
53,10.878308243490334,-0.003444352479993168
54,10.878308821639894,-0.003444374832052415
55,10.87830866686717,-0.0034444670475629806
56,10.878307754639923,-0.0034446315456266616
