run_id,V_start_kV,mod_depth,ramp_turns,Vrf_mean_kV,internal_depth,min_time_sigma_ns,turn_of_min,eps_growth,valid
run_1784812071694,30,0.5,3000,247.5,0.29292929292929293,2.2720619851653945,7608,-347.9584400368577,True
run_1784812077689,30,0.525,3000,243.875,0.3121476166068683,2.164727436825048,7662,-392.6142916449689,True
run_1784812085111,30,0.55,3000,240.25,0.33194588969823097,2.0729821068202017,7718,-444.4513717996132,True
run_1784812092139,30,0.575,3000,236.62500000000003,0.352350765979926,2.0026747375210663,7776,-504.81894937659,True
run_1784812099192,30,0.6,3000,233.00000000000003,0.3733905579399141,1.962736584879552,7836,-575.3436737013257,True
run_1784812105764,30,0.625,3000,229.37500000000003,0.39509536784741134,1.9661503554964204,7898,-657.9846441486379,True
run_1784812112258,30,0.65,3000,225.75000000000003,0.41749723145071976,2.0308902910135527,7962,-755.0932441191226,True
run_1784812119214,30,0.675,3000,222.12500000000003,0.44063027574563873,2.0388765972720506,6486,-448.7973031337203,True
run_1784812126179,30,0.7,3000,218.50000000000003,0.46453089244851253,1.9666834213470825,6538,-502.43753916814217,True
run_1784812132616,30,0.725,3000,214.87500000000003,0.4892379290285048,1.9141315993452641,6592,-564.4712425257161,True
run_1784812139279,30,0.75,3000,211.25,0.514792899408284,1.8895762706285502,6648,-636.4677740109194,True
run_1784812146112,30,0.775,3000,207.62500000000003,0.5412402167369055,1.9048913227617357,6705,-720.3202704133014,True
run_1784812154746,30,0.8,3000,204.00000000000003,0.5686274509803921,1.9763764629019742,6765,-818.2940626369526,True
run_1784812161927,30,0.825,3000,200.37500000000003,0.5970056144728633,2.125484314310922,6828,-933.1004380672567,True
run_1784812168664,30,0.85,3000,196.75000000000003,0.6264294790343073,2.0706160869095065,5246,-419.5772161289441,True
run_1784812175538,30,0.875,3000,193.12500000000003,0.656957928802589,1.9904299491761948,5293,-463.71848411611325,True
run_1784812182074,30,0.9,3000,189.50000000000003,0.6886543535620052,1.9198691112877706,5342,-514.5063841174394,True
run_1784812189118,30,0.925,3000,185.87500000000003,0.7215870880968391,1.8635812584080174,5392,-573.1857544861588,True
run_1784812196409,30,0.95,3000,182.25000000000003,0.7558299039780519,1.8281775032166405,5444,-641.2610387557041,True
run_1784812203349,30,0.975,3000,178.62500000000003,0.7914625612316305,1.8235404531129573,5498,-720.5577723639519,True
run_1784812210411,30,1,3000,175.00000000000003,0.8285714285714284,1.8640162226748853,5554,-813.2863592139695,True
run_1784812217310,30,1.103,3000,160.06500000000003,0.999187829944085,2.3088225351486056,3979,-325.50598237940835,True
